Language,Threads,Tasks,Repetition,Energy_Joules,Peak_Memory_KB_RSS,Real_Time_Seconds
c_zig_cc,64,100,7,73.61,1056,.25000000000000000000
c_zig_cc,64,100,8,73.60,1024,.25000000000000000000
c_zig_cc,64,100,9,78.03,1064,.25000000000000000000
c_zig_cc,64,100,10,73.56,1084,.26000000000000000000
c_zig_cc,2,1000,1,26.71,1024,.21000000000000000000
c_zig_cc,2,1000,2,22.09,1072,.21000000000000000000
c_zig_cc,2,1000,3,22.07,1024,.21000000000000000000
c_zig_cc,2,1000,4,21.68,1024,.21000000000000000000
c_zig_cc,2,1000,5,21.76,0,.21000000000000000000
c_zig_cc,2,1000,6,21.61,0,.21000000000000000000
c_zig_cc,2,1000,7,21.54,1080,.21000000000000000000
c_zig_cc,2,1000,8,21.51,1072,.21000000000000000000
c_zig_cc,2,1000,9,21.66,1060,.21000000000000000000
c_zig_cc,2,1000,10,21.57,1060,.21000000000000000000
c_zig_cc,4,1000,1,24.83,1036,.21000000000000000000
c_zig_cc,4,1000,2,24.50,1060,.21000000000000000000
c_zig_cc,4,1000,3,24.55,1064,.22000000000000000000
c_zig_cc,4,1000,4,25.02,1080,.21000000000000000000
c_zig_cc,4,1000,5,24.49,1080,.21000000000000000000
c_zig_cc,4,1000,6,24.44,1032,.21000000000000000000
c_zig_cc,4,1000,7,24.88,0,.22000000000000000000
c_zig_cc,4,1000,8,24.78,1032,.22000000000000000000
c_zig_cc,4,1000,9,24.49,1084,.22000000000000000000
c_zig_cc,4,1000,10,24.70,0,.22000000000000000000
c_zig_cc,8,1000,1,28.58,1084,.23000000000000000000
c_zig_cc,8,1000,2,28.50,0,.23000000000000000000
c_zig_cc,8,1000,3,28.45,1084,.24000000000000000000
c_zig_cc,8,1000,4,28.36,1072,.23000000000000000000
c_zig_cc,8,1000,5,28.41,0,.24000000000000000000
c_zig_cc,8,1000,6,28.46,1072,.23000000000000000000
c_zig_cc,8,1000,7,28.46,1024,.23000000000000000000
c_zig_cc,8,1000,8,28.28,1056,.23000000000000000000
c_zig_cc,8,1000,9,28.54,1024,.23000000000000000000
c_zig_cc,8,1000,10,28.60,1024,.23000000000000000000
c_zig_cc,16,1000,1,36.55,1080,.24000000000000000000
c_zig_cc,16,1000,2,36.21,1072,.24000000000000000000
c_zig_cc,16,1000,3,36.35,1084,.24000000000000000000
c_zig_cc,16,1000,4,36.58,1056,.24000000000000000000
c_zig_cc,16,1000,5,36.77,1024,.23000000000000000000
c_zig_cc,16,1000,6,37.41,0,.23000000000000000000
c_zig_cc,16,1000,7,36.08,1084,.24000000000000000000
c_zig_cc,16,1000,8,36.38,1068,.24000000000000000000
c_zig_cc,16,1000,9,35.95,1080,.24000000000000000000
c_zig_cc,16,1000,10,36.38,1072,.24000000000000000000
c_zig_cc,32,1000,1,51.33,1024,.24000000000000000000
c_zig_cc,32,1000,2,51.04,1040,.24000000000000000000
c_zig_cc,32,1000,3,51.73,1024,.24000000000000000000
c_zig_cc,32,1000,4,50.89,1060,.24000000000000000000
c_zig_cc,32,1000,5,51.37,1052,.24000000000000000000
c_zig_cc,32,1000,6,50.98,1080,.24000000000000000000
c_zig_cc,32,1000,7,51.33,1084,.24000000000000000000
c_zig_cc,32,1000,8,51.16,1024,.24000000000000000000
c_zig_cc,32,1000,9,51.09,1052,.24000000000000000000
c_zig_cc,32,1000,10,50.73,1064,.24000000000000000000
c_zig_cc,64,1000,1,73.87,1024,.26000000000000000000
c_zig_cc,64,1000,2,73.38,0,.25000000000000000000
c_zig_cc,64,1000,3,73.51,1060,.25000000000000000000
c_zig_cc,64,1000,4,73.46,1076,.26000000000000000000
c_zig_cc,64,1000,5,82.02,0,.25000000000000000000
